"Product ID","Product Name","Category","Subcategory","Brand","Selling Price (₹)","Original Price (₹)","Discount (%)","Rating","Review Count","Stock Quantity"
"ELEC001","Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 GB, 12 GB RAM)","Electronics","Smartphones","Samsung","74999","134999","44","4.5","15420","45"
"ELEC002","Apple iPhone 15 Pro Max (Natural Titanium, 256 GB)","Electronics","Smartphones","Apple","139900","159900","13","4.7","28350","30"
"ELEC003","Apple MacBook Air M3 Chip (15-inch, 16GB, 512GB SSD) — Midnight","Electronics","Laptops","Apple","134990","149900","10","4.8","5820","20"
"ELEC004","Sony WH-1000XM5 Wireless Noise Cancelling Headphones (Black)","Electronics","Headphones","Sony","22990","34990","34","4.6","12340","80"
"ELEC005","iPad Air (M2) 11-inch Wi-Fi 256GB — Space Grey","Electronics","Tablets","Apple","69900","79900","13","4.7","4250","35"
"ELEC006","Sony Alpha 7 IV Full-Frame Mirrorless Camera (Body Only)","Electronics","Cameras","Sony","196990","243490","19","4.8","2130","8"
"ELEC007","Dell UltraSharp 27"" 4K USB-C Hub Monitor - U2723QE","Electronics","Monitors","Dell","44990","59990","25","4.5","3420","25"
"ELEC008","JBL Charge 5 Portable Bluetooth Speaker (Blue)","Electronics","Speakers","JBL","13999","18999","26","4.4","8970","60"
"ELEC009","Samsung 55"" Crystal 4K UHD Smart TV - UA55CU8000","Electronics","TVs","Samsung","42990","64900","34","4.3","7650","15"
"ELEC010","Apple Watch Series 9 GPS 45mm (Midnight Aluminium, M/L Sport Band)","Electronics","Smartwatches","Apple","39900","49900","20","4.6","6340","40"
"FASH001","Allen Solly Men Slim Fit Formal Shirt — Sky Blue","Fashion","Men Clothing","Allen Solly","899","1999","55","4.2","8540","150"
"FASH002","Levi's Men 511 Slim Fit Jeans — Dark Indigo","Fashion","Men Clothing","Levi's","1799","3999","55","4.4","12340","200"
"FASH003","Nike Air Max 270 Running Shoes — Red","Fashion","Shoes","Nike","8995","14995","40","4.5","9870","75"
"FASH004","Fossil Neutra Chronograph Brown Leather Watch — Men","Fashion","Accessories","Fossil","7996","12995","38","4.5","5430","45"
"FASH005","W Women Printed Straight Kurta — Mustard Yellow","Fashion","Women Clothing","W","799","1499","47","4.3","6780","120"
"FASH006","Ray-Ban Aviator Classic Sunglasses — Gold/Green","Fashion","Accessories","Ray-Ban","6990","11490","39","4.6","11230","90"
"FASH007","Adidas Originals Superstar Shoes — White/Black","Fashion","Shoes","Adidas","5999","9999","40","4.4","14560","110"
"FASH008","Wildcraft Unisex 45L Trekking Backpack — Black","Fashion","Bags","Wildcraft","2499","4999","50","4.3","7890","65"
"FASH009","U.S. Polo Assn. Men Premium Polo T-Shirt — Navy Blue","Fashion","Men Clothing","U.S. Polo Assn.","699","1599","56","4.1","15670","200"
"FASH010","Global Desi Women Floral Maxi Dress — Teal","Fashion","Women Clothing","Global Desi","1299","2799","54","4.2","4320","80"
"HOME001","Prestige Iris 750W Mixer Grinder — 3 Jars (White)","Home & Kitchen","Kitchen Appliances","Prestige","2399","4495","47","4.2","18970","100"
"HOME002","Wipro 10W LED Smart Bulb (Pack of 2) — 16 Million Colors","Home & Kitchen","Home Décor","Wipro","899","1798","50","4","6540","200"
"HOME003","Nilkamal Elegance Dining Table Set (1+4) — Walnut","Home & Kitchen","Furniture","Nilkamal","15999","28999","45","4.1","3210","12"
"HOME004","Pigeon by Stovekraft 12-Litre Electric Oven (OTG)","Home & Kitchen","Kitchen Appliances","Pigeon","2499","5290","53","4","9870","50"
"HOME005","Dyson V12 Detect Slim Cordless Vacuum Cleaner","Home & Kitchen","Home Appliances","Dyson","44900","58900","24","4.7","2340","15"
"HOME006","Borosil 6.5L Digital Air Fryer — Black","Home & Kitchen","Kitchen Appliances","Borosil","5999","11990","50","4.3","7650","40"
"HOME007","Solimo 100% Cotton 6-Piece Towel Set — Navy Blue","Home & Kitchen","Home Décor","Solimo","799","1499","47","4.1","14320","180"
"HOME008","IKEA KALLAX Shelf Unit — White (4x4)","Home & Kitchen","Furniture","IKEA","8990","12990","31","4.4","5670","20"
"BOOK001","Atomic Habits — James Clear (Paperback)","Books","Self-Help","Penguin","299","799","63","4.7","145200","500"
"BOOK002","The Psychology of Money — Morgan Housel (Paperback)","Books","Finance","Jaico Publishing","249","399","38","4.6","89540","400"
"BOOK003","Ikigai: The Japanese Secret to a Long and Happy Life","Books","Self-Help","Penguin","199","350","43","4.5","76890","350"
"BOOK004","Rich Dad Poor Dad — Robert T. Kiyosaki (Paperback)","Books","Finance","Plata Publishing","299","499","40","4.5","120340","450"
"BOOK005","The Alchemist — Paulo Coelho (Paperback)","Books","Fiction","HarperOne","225","350","36","4.6","98760","300"
"GAME001","Sony PlayStation 5 Slim Console (Disc Edition)","Gaming","Consoles","Sony","49990","54990","9","4.8","18920","18"
"GAME002","Logitech G502 HERO Wired Gaming Mouse — Black","Gaming","Accessories","Logitech","3495","6795","49","4.6","34560","90"
"GAME003","Nintendo Switch OLED Model — White","Gaming","Consoles","Nintendo","29999","34999","14","4.7","12340","22"
"GAME004","SteelSeries Arctis Nova 7 Wireless Gaming Headset","Gaming","Accessories","SteelSeries","12999","18999","32","4.5","6780","35"
"BEAU001","Maybelline New York Fit Me Matte Foundation — 128 Warm Nude","Beauty","Makeup","Maybelline","399","599","33","4.2","45670","200"
"BEAU002","Philips BT3211/15 Cordless Beard Trimmer — DuraPower","Beauty","Grooming","Philips","1299","1795","28","4.3","56780","120"
"BEAU003","Forest Essentials Luxury Kumkumadi Night Serum — 30ml","Beauty","Skincare","Forest Essentials","3275","4550","28","4.4","8920","50"
"BEAU004","Nivea Soft Moisturising Cream — 300ml","Beauty","Skincare","Nivea","299","425","30","4.4","67890","300"
"SPRT001","Boldfit Heavy Resistance Band Set (5 Bands) — Multi-Level","Sports","Fitness Equipment","Boldfit","399","1299","69","4.2","34560","500"
"SPRT002","Yonex Nanoray 7000I Badminton Racquet — Red","Sports","Racquet Sports","Yonex","1080","1490","28","4.3","23450","80"
"SPRT003","Nivia Storm Football — Size 5 (Black/Yellow)","Sports","Team Sports","Nivia","549","999","45","4.1","18760","150"
"SPRT004","PowerMax Fitness TD-M1-A1 Motorised Treadmill","Sports","Fitness Equipment","PowerMax","18999","35999","47","4","7890","10"
"TOYS001","LEGO Classic Creative Bricks Box (484 Pieces)","Toys & Baby","Building Toys","LEGO","1999","3499","43","4.8","23450","60"
"TOYS002","Funskool Monopoly Board Game — Classic Edition","Toys & Baby","Board Games","Funskool","599","1199","50","4.5","18920","100"
"TOYS003","LuvLap Comfy Baby Stroller — Grey","Toys & Baby","Baby Products","LuvLap","3999","7999","50","4.2","12340","30"
"GROC001","Tata Gold Tea — 1kg Premium Blend","Grocery","Beverages","Tata Tea","399","540","26","4.4","78900","500"
"GROC002","Saffola Total Pro Heart Conscious Edible Oil — 5L","Grocery","Cooking Essentials","Saffola","899","1250","28","4.3","45670","200"
"GROC003","Cadbury Dairy Milk Silk Chocolate — Pack of 8 (60g each)","Grocery","Snacks","Cadbury","599","880","32","4.6","56780","300"
"GROC004","Organic Tattva Brown Basmati Rice — 5kg","Grocery","Staples","Organic Tattva","599","899","33","4.3","12340","100"
"TOOL001","Bosch GSB 500W Impact Drill Kit (100 Accessories)","Tools","Power Tools","Bosch","2699","4799","44","4.4","18920","40"
"TOOL002","Stanley 65-Piece Ultimate Tool Kit","Tools","Hand Tools","Stanley","2999","5999","50","4.5","8970","55"
"TOOL003","Havells 1200mm Ambrose Decorative Ceiling Fan — Gold Mist","Tools","Electrical","Havells","3299","5490","40","4.3","14560","70"
